onset	duration	sample	trial_type	response_time	stim_file	value	HED
198.4640000000	n/a	49617	1	n/a	n/a	11	Event/Category/Experimental stimulus/Instruction, Event/Label/HEAR cue FA, Event/Description/A 200-ms word 'Hear' to instruct subjects to attend to the auditory modality. Visual cues and stimuli were to be ignored throughout the entire block, Action/Attend, Attribute/Intended effect, Attribute/Language/Family/Latin/English, Attribute/Language/Unit/Word/Hear, Event/Duration/200 milliseconds, Participant/Effect/Cognitive/Cue, Sensory presentation/Visual/Rendering type/Screen/2D
198.9520000000	n/a	49739	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
199.2080000000	n/a	49803	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
199.2200000000	n/a	49806	1	n/a	n/a	1201	Event/Category/Participant response, Event/Label/Button Press FA, Event/Description/The subject presses a button meant to be in response to detecting the auditory target, Action/Button press
199.9160000000	n/a	49980	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
200.6760000000	n/a	50170	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
201.1760000000	n/a	50295	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
201.7400000000	n/a	50436	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
202.0040000000	n/a	50502	1	n/a	n/a	13	Event/Category/Experimental stimulus, Event/Label/Auditory Target in FA, Event/Description/A 100-ms 550-Hz sine wave tone with amplitude modulated at 5-Hz is played. Subjects were expected to attend to this stimulus and respond with a button press during this Focused Auditory block, Attribute/Auditory/Frequency/550 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Target
202.3360000000	n/a	50585	1	n/a	n/a	1201	Event/Category/Participant response, Event/Label/Button Press FA, Event/Description/The subject presses a button meant to be in response to detecting the auditory target, Action/Button press
202.3800000000	n/a	50596	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
202.7920000000	n/a	50699	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
203.1560000000	n/a	50790	1	n/a	n/a	12	Event/Category/Experimental stimulus/Instruction, Event/Label/LOOK cue FA, Event/Description/A 200-ms word Look that instructs subjects to attend to the visual modality. It's meant to be ignored in this Focus Auditory block., Attribute/Language/Family/Latin/English, Attribute/Language/Unit/Word/Look, Event/Duration/200 milliseconds, Sensory presentation/Visual/Rendering type/Screen/2D
203.4760000000	n/a	50870	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
203.7920000000	n/a	50949	1	n/a	n/a	14	Event/Category/Experimental stimulus, Event/Label/Light blue square in FA, Event/Description/A light blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Light, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
204.4720000000	n/a	51119	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
204.8040000000	n/a	51202	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
205.5200000000	n/a	51381	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
205.8000000000	n/a	51451	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
206.0960000000	n/a	51525	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
206.5600000000	n/a	51641	1	n/a	n/a	14	Event/Category/Experimental stimulus, Event/Label/Light blue square in FA, Event/Description/A light blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Light, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
206.8680000000	n/a	51718	1	n/a	n/a	15	Event/Category/Experimental stimulus, Event/Label/Auditory Nontarget FA, Event/Description/A 500-Hz sine-wave tone amplitude-modulated at 5 Hz is played. Subjects were expected to attend to this stimulus during this Focused Auditory block, Attribute/Auditory/Frequency/500 Hz, Attribute/Auditory/Loudness/63 dB, Sensory presentation/Auditory/Tone, Event/Duration/100 milliseconds, Participant/Effect/Cognitive/Non-target
206.8840000000	n/a	51722	1	n/a	n/a	1201	Event/Category/Participant response, Event/Label/Button Press FA, Event/Description/The subject presses a button meant to be in response to detecting the auditory target, Action/Button press
207.1400000000	n/a	51786	1	n/a	n/a	16	Event/Category/Experimental stimulus, Event/Label/Dark blue square in FA, Event/Description/A dark blue 8.4 cm2 filled square visual stimulus is presented. Subjects were expected to ignore this stimulus during this Focused Auditory block, Attribute/Size/Area/8.4 cm2, Attribute/Visual/Color/Blue, Attribute/Visual/Color/Dark, Item/2D shape/Rectangle/Square, Sensory presentation/Visual/Rendering type/Screen/2D
