event_code	cond_code	focus_modality	event_type	attention_status	task_role	condition
1	1	auditory	hear_word	unattended	cue_auditory	attend_auditory
1	2	visual	hear_word	unattended	cue_visual	attend_visual
1	3	auditory	hear_word	attended	cue_auditory	shift_attention
2	1	auditory	look_word	unattended	cue_auditory	attend_auditory
2	2	visual	look_word	unattended	cue_visual	attend_visual
2	3	visual	look_word	attended	cue_visual	shift_attention
3	1	auditory	high_tone	attended	infrequent_stimulus	attend_auditory
3	2	visual	high_tone	unattended	infrequent_stimulus	attend_visual
4	1	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory
4	2	visual	light_bar	attended	infrequent_stimulus	attend_visual
5	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory
5	2	visual	low_tone	unattended	frequent_stimulus	attend_visual
6	1	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory
6	2	visual	dark_bar	attended	frequent_stimulus	attend_visual
7	3	auditory	high_tone	attended	infrequent_stimulus	shift_attention
8	3	visual	light_bar	attended	infrequent_stimulus	shift_attention
9	3	visual	high_tone	unattended	infrequent_stimulus	shift_attention
10	3	auditory	light_bar	unattended	infrequent_stimulus	shift_attention
11	3	auditory	low_tone	attended	frequent_stimulus	shift_attention
12	3	visual	dark_bar	attended	frequent_stimulus	shift_attention
13	3	visual	low_tone	unattended	frequent_stimulus	shift_attention
14	3	auditory	dark_bar	unattended	frequent_stimulus	shift_attention
201	1	auditory	button_press	n/a	target_detected	attend_auditory
201	2	visual	button_press	n/a	target_detected	attend_visual
201	3	auditory	button_press	n/a	target_detected	shift_attention
201	3	visual	button_press	n/a	target_detected	shift_attention
202	1	auditory	pause_recording	n/a	n/a	attend_auditory
202	2	visual	pause_recording	n/a	n/a	attend_visual
202	3	auditory	pause_recording	n/a	n/a	shift_attention
202	3	n/a	pause_recording	n/a	n/a	shift_attention
202	3	visual	pause_recording	n/a	n/a	shift_attention
255	2	visual	bad_event	n/a	n/a	attend_visual
