file_basename	sampling_rate
sub-001_task-AuditoryVisualShift_run-01	250
sub-002_task-AuditoryVisualShift_run-01	250.029
sub-003_task-AuditoryVisualShift_run-01	250.029
sub-004_task-AuditoryVisualShift_run-01	250.029
sub-004_task-AuditoryVisualShift_run-02	250.029
sub-005_task-AuditoryVisualShift_run-01	250
sub-006_task-AuditoryVisualShift_run-01	250
sub-007_task-AuditoryVisualShift_run-01	250
sub-008_task-AuditoryVisualShift_run-01	250
sub-009_task-AuditoryVisualShift_run-01	250
sub-010_task-AuditoryVisualShift_run-01	250
sub-011_task-AuditoryVisualShift_run-01	250
sub-012_task-AuditoryVisualShift_run-01	250
sub-013_task-AuditoryVisualShift_run-01	250
sub-014_task-AuditoryVisualShift_run-01	250
sub-015_task-AuditoryVisualShift_run-01	250
sub-016_task-AuditoryVisualShift_run-01	250
sub-017_task-AuditoryVisualShift_run-01	250
sub-018_task-AuditoryVisualShift_run-01	250
sub-019_task-AuditoryVisualShift_run-01	250
sub-020_task-AuditoryVisualShift_run-02	250
sub-021_task-AuditoryVisualShift_run-02	250
sub-022_task-AuditoryVisualShift_run-02	250
sub-023_task-AuditoryVisualShift_run-01	250
sub-024_task-AuditoryVisualShift_run-01	250
sub-025_task-AuditoryVisualShift_run-01	250
sub-026_task-AuditoryVisualShift_run-01	250
sub-027_task-AuditoryVisualShift_run-01	250
sub-028_task-AuditoryVisualShift_run-01	250
sub-028_task-AuditoryVisualShift_run-02	250
sub-029_task-AuditoryVisualShift_run-01	250
sub-030_task-AuditoryVisualShift_run-01	250
sub-031_task-AuditoryVisualShift_run-01	250.029
sub-032_task-AuditoryVisualShift_run-01	250.029
sub-033_task-AuditoryVisualShift_run-01	250.029
sub-034_task-AuditoryVisualShift_run-01	250
sub-035_task-AuditoryVisualShift_run-01	250.029
sub-036_task-AuditoryVisualShift_run-01	250.029
sub-036_task-AuditoryVisualShift_run-02	250.029
sub-037_task-AuditoryVisualShift_run-01	250
sub-038_task-AuditoryVisualShift_run-01	250
sub-039_task-AuditoryVisualShift_run-01	250
sub-040_task-AuditoryVisualShift_run-01	250
sub-041_task-AuditoryVisualShift_run-01	250
sub-042_task-AuditoryVisualShift_run-01	250
sub-043_task-AuditoryVisualShift_run-01	250
sub-044_task-AuditoryVisualShift_run-01	250
sub-045_task-AuditoryVisualShift_run-01	250
sub-046_task-AuditoryVisualShift_run-01	250
sub-047_task-AuditoryVisualShift_run-01	250
sub-048_task-AuditoryVisualShift_run-01	250
sub-049_task-AuditoryVisualShift_run-01	250
