onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
3.6155757078	n/a	905	1	0	visual	look_word	unattended	cue_visual	attend_visual	2	2
4.0195283035	n/a	1006	1	1	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
4.4634762056	n/a	1117	1	2	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
5.2153879679	n/a	1305	1	3	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
5.9513016075	n/a	1489	1	4	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
6.2552659369	n/a	1565	1	5	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
6.8791927184	n/a	1721	1	6	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
7.2711467221	n/a	1819	1	7	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
7.8590777277	n/a	1966	1	8	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
7.8990730342	n/a	1976	1	8	visual	button_press	n/a	target_detected	attend_visual	201	2
8.519000285	n/a	2131	1	9	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
9.3149068844	n/a	2330	1	10	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
9.5668773153	n/a	2393	1	11	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
9.8348458689	n/a	2460	2	11	visual	hear_word	unattended	cue_visual	attend_visual	1	2
10.2028026887	n/a	2552	2	12	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
10.9747121042	n/a	2745	2	13	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
11.5066496807	n/a	2878	2	14	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
11.7746182342	n/a	2945	2	15	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
12.0025914813	n/a	3002	3	15	visual	look_word	unattended	cue_visual	attend_visual	2	2
