name	x	y	z
Fp1	0.094900	0.030700	-0.004700
Fpz	0.099900	-0.000000	-0.002100
Fp2	0.094900	-0.030700	-0.004700
AF3	0.089500	0.037000	0.024500
AF4	0.089500	-0.037000	0.024500
F7	0.058600	0.080400	-0.008800
F3	0.067700	0.056700	0.046900
Fz	0.071400	-0.000000	0.069900
F4	0.067700	-0.056600	0.046900
F8	0.058700	-0.080400	-0.008800
FC5	0.033800	0.089600	0.028400
FC1	0.038100	0.038000	0.084100
FC6	0.033800	-0.089600	0.028400
FC2	0.038100	-0.038000	0.084100
T7	0.000000	0.099400	-0.010400
C3	0.000000	0.074200	0.066800
Cz	0.000000	0.000000	0.100000
C4	0.000000	-0.074300	0.066900
T8	0.000000	-0.099400	-0.010400
CP5	-0.033800	0.089600	0.028400
CP1	-0.038100	0.038000	0.084100
CP2	-0.038100	-0.038000	0.084100
CP6	-0.033800	-0.089600	0.028400
P7	-0.058600	0.080400	-0.008800
P3	-0.067700	0.056700	0.046900
Pz	-0.071400	-0.000000	0.069900
P4	-0.067700	-0.056600	0.046900
P8	-0.058700	-0.080400	-0.008800
PO3	-0.089500	0.037000	0.024500
PO4	-0.089500	-0.037000	0.024500
O1	-0.094900	0.030700	-0.004700
Oz	-0.099900	-0.000000	-0.002100
O2	-0.094900	-0.030700	-0.004700
LM	0.000000	0.070700	-0.070700
REye	0.080000	-0.039600	-0.044900
LEye	0.072300	0.051200	-0.046200
