onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
3.8795447307	n/a	971	1	0	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
4.299495449	n/a	1076	1	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
4.6714517995	n/a	1169	1	2	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
5.3713696632	n/a	1344	1	3	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
6.1552776707	n/a	1540	1	4	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
6.6472199407	n/a	1663	1	5	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
7.1511608026	n/a	1789	1	6	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
7.5311162144	n/a	1884	1	7	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
7.7510904001	n/a	1939	1	8	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
8.095050036	n/a	2025	1	8	auditory	button_press	n/a	target_detected	attend_auditory	201	1
8.2510317314	n/a	2064	1	9	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
8.519000285	n/a	2131	2	9	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
8.9749467791	n/a	2245	2	10	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
9.3709003135	n/a	2344	2	11	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
10.0428214627	n/a	2512	2	12	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
10.4347754664	n/a	2610	2	13	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
11.2266825352	n/a	2808	2	14	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
11.4706539048	n/a	2869	2	15	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
11.7186248051	n/a	2931	2	16	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
12.1945689525	n/a	3050	2	17	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
12.5705248336	n/a	3144	2	18	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
12.9824764906	n/a	3247	2	19	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.2304473909	n/a	3309	2	20	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.5224131284	n/a	3382	3	20	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
13.870372295	n/a	3469	3	21	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
14.3463164423	n/a	3588	3	22	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
14.750269038	n/a	3689	3	22	auditory	button_press	n/a	target_detected	attend_auditory	201	1
14.7782657526	n/a	3696	3	23	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
15.07023149	n/a	3769	3	24	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
15.5821714132	n/a	3897	3	25	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
15.8621385588	n/a	3967	3	26	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
16.2380944399	n/a	4061	3	27	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
16.5140620547	n/a	4130	3	28	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
16.9860066715	n/a	4248	3	29	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
16.9980052634	n/a	4251	3	29	auditory	button_press	n/a	target_detected	attend_auditory	201	1
17.1939822653	n/a	4300	4	29	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
17.6019343916	n/a	4402	4	30	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
17.905898721	n/a	4478	4	31	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
18.2778550715	n/a	4571	4	32	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
18.7497996882	n/a	4689	4	32	auditory	button_press	n/a	target_detected	attend_auditory	201	1
19.0257673031	n/a	4758	4	33	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
19.4697152053	n/a	4869	4	34	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
19.7536818814	n/a	4940	4	35	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
