column_name	column_value	description	HED
value	1111	Description for 1111	Label/1111
value	1112	Description for 1112	Label/1112
value	1121	Description for 1121	Label/1121
value	1122	Description for 1122	Label/1122
value	1131	Description for 1131	Label/1131
value	1132	Description for 1132	Label/1132
value	1141	Description for 1141	Label/1141
value	1142	Description for 1142	Label/1142
value	1211	Description for 1211	Label/1211
value	1212	Description for 1212	Label/1212
value	1311	Description for 1311	Label/1311
value	1312	Description for 1312	Label/1312
value	1321	Description for 1321	Label/1321
value	1322	Description for 1322	Label/1322
value	2621	Description for 2621	Label/2621
value	2622	Description for 2622	Label/2622
value	3111	Description for 3111	Label/3111
value	3112	Description for 3112	Label/3112
value	3200	Description for 3200	Label/3200
value	3310	Description for 3310	Label/3310
value	4210	Description for 4210	Label/4210
value	4220	Description for 4220	Label/4220
value	4230	Description for 4230	Label/4230
value	4311	Description for 4311	Label/4311
value	4312	Description for 4312	Label/4312
value	4411	Description for 4411	Label/4411
