onset	duration	sample	value
0.0009765625	n/a	2	1311
0.0009765625	n/a	2	1312
0.0009765625	n/a	2	1311
0.0009765625	n/a	2	1312
2.173828125	n/a	2227	1311
2.3212890625	n/a	2378	1312
5.3349609375	n/a	5464	3111
5.3349609375	n/a	5464	1211
5.3349609375	n/a	5464	3200
5.3349609375	n/a	5464	3310
5.3349609375	n/a	5464	4230
5.4853515625	n/a	5618	2621
8.7353515625	n/a	8946	2622
9.056640625	n/a	9275	1111
10.134765625	n/a	10379	4311
10.212890625	n/a	10459	1112
10.7763671875	n/a	11036	4210
11.3388671875	n/a	11612	4312
12.3212890625	n/a	12618	4230
16.9541015625	n/a	17362	1311
17.1005859375	n/a	17512	1312
17.1611328125	n/a	17574	1111
17.927734375	n/a	18359	4210
18.1826171875	n/a	18620	4311
18.25	n/a	18689	1112
18.4912109375	n/a	18936	4220
20.0263671875	n/a	20508	4210
20.8291015625	n/a	21330	4230
24.306640625	n/a	24891	1121
25.2734375	n/a	25881	4311
25.33984375	n/a	25949	1122
30.4931640625	n/a	31226	1121
30.5546875	n/a	31289	1311
30.701171875	n/a	31439	1312
30.8486328125	n/a	31590	4311
30.859375	n/a	31601	1122
32.654296875	n/a	33439	1311
32.7783203125	n/a	33566	1312
35.259765625	n/a	36107	4210
35.615234375	n/a	36471	4312
35.9072265625	n/a	36770	1121
36.640625	n/a	37521	4230
36.9189453125	n/a	37806	4311
36.984375	n/a	37873	1122
40.0048828125	n/a	40966	1311
40.1103515625	n/a	41074	1312
41.9140625	n/a	42921	1121
42.869140625	n/a	43899	4311
42.935546875	n/a	43967	1122
45.8349609375	n/a	46936	4210
46.857421875	n/a	47983	4220
48.5439453125	n/a	49710	4210
48.5439453125	n/a	49710	4312
50.775390625	n/a	51995	1121
51.7978515625	n/a	53042	4230
51.841796875	n/a	53087	4311
51.919921875	n/a	53167	1122
52.1220703125	n/a	53374	3200
52.4853515625	n/a	53746	2621
54.703125	n/a	56017	1311
54.8427734375	n/a	56160	1312
54.9384765625	n/a	56258	4210
55.6005859375	n/a	56936	4312
58.076171875	n/a	59471	1111
58.865234375	n/a	60279	4220
59.154296875	n/a	60575	4311
59.232421875	n/a	60655	1112
60.7353515625	n/a	62194	2622
61.69140625	n/a	63173	4210
62.22265625	n/a	63717	4230
63.4267578125	n/a	64950	1311
63.5546875	n/a	65081	1312
64.4775390625	n/a	66026	1111
65.177734375	n/a	66743	4311
65.2216796875	n/a	66788	1112
65.5732421875	n/a	67148	1311
65.6630859375	n/a	67240	4210
65.7099609375	n/a	67288	1312
68.1025390625	n/a	69738	4312
68.1728515625	n/a	69810	4230
70.3583984375	n/a	72048	1111
70.5361328125	n/a	72230	4210
71.169921875	n/a	72879	4311
71.224609375	n/a	72935	1112
71.4365234375	n/a	73152	4220
72.8310546875	n/a	74580	4210
73.4140625	n/a	75177	4312
76.255859375	n/a	78087	1111
76.9892578125	n/a	78838	4220
77.27734375	n/a	79133	4311
77.3447265625	n/a	79202	1112
79.8935546875	n/a	81812	4210
80.4169921875	n/a	82348	4230
84.0244140625	n/a	86042	1311
84.16015625	n/a	86181	1312
85.287109375	n/a	87335	1111
86.109375	n/a	88177	4210
86.275390625	n/a	88347	4311
86.3427734375	n/a	88416	1112
86.6259765625	n/a	88706	4220
88.6533203125	n/a	90782	4210
90.408203125	n/a	92579	4230
91.1513671875	n/a	93340	3200
91.4853515625	n/a	93682	2621
92.404296875	n/a	94623	4210
92.59765625	n/a	94821	1111
93.6083984375	n/a	95856	4311
93.67578125	n/a	95925	4220
93.67578125	n/a	95925	1112
96.001953125	n/a	98307	4210
97.0341796875	n/a	99364	4230
99.4853515625	n/a	101874	2622
99.833984375	n/a	102231	1111
100.369140625	n/a	102779	4210
100.580078125	n/a	102995	4311
100.6240234375	n/a	103040	1112
103.1728515625	n/a	105650	1311
103.296875	n/a	105777	1312
103.4853515625	n/a	105970	4230
106.92578125	n/a	109493	4210
106.92578125	n/a	109493	4312
108.115234375	n/a	110711	1121
108.638671875	n/a	111247	4230
108.8525390625	n/a	111466	1311
108.9580078125	n/a	111574	1312
109.0498046875	n/a	111668	4311
109.1162109375	n/a	111736	1122
113.0205078125	n/a	115734	4210
113.0205078125	n/a	115734	4312
115.716796875	n/a	118495	1111
116.5166015625	n/a	119314	4311
116.572265625	n/a	119371	1112
116.7939453125	n/a	119598	4220
119.0205078125	n/a	121878	4210
120.0234375	n/a	122905	4312
122.26953125	n/a	125205	1121
122.822265625	n/a	125771	1311
122.9453125	n/a	125897	1312
123.0361328125	n/a	125990	4230
123.19140625	n/a	126149	4311
123.2587890625	n/a	126218	1122
126.3583984375	n/a	129392	4210
127.091796875	n/a	130143	4312
131.0751953125	n/a	134222	1121
131.330078125	n/a	134483	3200
131.72265625	n/a	134885	1311
131.7353515625	n/a	134898	2621
131.7529296875	n/a	134916	4230
131.828125	n/a	134993	1312
132.0859375	n/a	135257	4311
132.15234375	n/a	135325	1122
132.8037109375	n/a	135992	1311
