column_name	column_value	description	HED
value	1121	Description for 1121	Label/1121
value	1122	Description for 1122	Label/1122
value	1211	Description for 1211	Label/1211
value	1212	Description for 1212	Label/1212
value	1221	Description for 1221	Label/1221
value	1222	Description for 1222	Label/1222
value	1231	Description for 1231	Label/1231
value	1232	Description for 1232	Label/1232
value	1241	Description for 1241	Label/1241
value	1242	Description for 1242	Label/1242
value	1251	Description for 1251	Label/1251
value	1252	Description for 1252	Label/1252
value	1311	Description for 1311	Label/1311
value	1312	Description for 1312	Label/1312
value	1321	Description for 1321	Label/1321
value	1322	Description for 1322	Label/1322
value	1331	Description for 1331	Label/1331
value	1332	Description for 1332	Label/1332
value	1341	Description for 1341	Label/1341
value	1342	Description for 1342	Label/1342
value	1351	Description for 1351	Label/1351
value	1352	Description for 1352	Label/1352
value	1361	Description for 1361	Label/1361
value	1362	Description for 1362	Label/1362
value	2110	Description for 2110	Label/2110
value	2120	Description for 2120	Label/2120
value	3111	Description for 3111	Label/3111
value	3112	Description for 3112	Label/3112
value	3231	Description for 3231	Label/3231
value	3232	Description for 3232	Label/3232
gid	n/a	Description for gid	Label/#
