onset	duration	sample	value	gid
44.546875	n/a	45617	1121	0
44.546875	n/a	45617	1251	0
44.546875	n/a	45617	1311	1086
57.8662109375	n/a	59256	2110	0
59.505859375	n/a	60935	1312	1086
59.505859375	n/a	60935	1311	1171
79.5068359375	n/a	81416	2120	0
99.5029296875	n/a	101892	1312	1171
99.5029296875	n/a	101892	1311	1199
106.9970703125	n/a	109566	2120	0
115.0888671875	n/a	117852	1312	1199
115.0888671875	n/a	117852	1321	4007
126.5	n/a	129537	2120	0
130.630859375	n/a	133767	1322	4007
130.630859375	n/a	133767	1311	1099
140.2353515625	n/a	143602	2120	0
143.568359375	n/a	147015	1312	1099
143.568359375	n/a	147015	1311	1088
150.7255859375	n/a	154344	2120	0
197.6484375	n/a	202393	1312	1088
197.6484375	n/a	202393	1351	4051
204.69140625	n/a	209605	2110	0
210.5986328125	n/a	215654	1352	4051
210.5986328125	n/a	215654	1311	1240
218.072265625	n/a	223307	2120	0
221.3154296875	n/a	226628	1312	1240
221.3154296875	n/a	226628	1311	1046
228.25390625	n/a	233733	2120	0
230.7021484375	n/a	236240	1312	1046
230.7021484375	n/a	236240	1331	4029
236.51953125	n/a	242197	2120	0
240.2236328125	n/a	245990	1332	4029
240.2236328125	n/a	245990	1311	1224
245.84765625	n/a	251749	2120	0
247.9384765625	n/a	253890	1312	1224
247.9384765625	n/a	253890	1311	1163
249.9033203125	n/a	255902	2120	0
252.0732421875	n/a	258124	1312	1163
252.0732421875	n/a	258124	1331	4035
253.9111328125	n/a	260006	2120	0
255.9482421875	n/a	262092	1332	4035
255.9482421875	n/a	262092	1311	1036
257.2490234375	n/a	263424	2120	0
259.251953125	n/a	265475	1312	1036
259.251953125	n/a	265475	1321	4005
260.623046875	n/a	266879	2120	0
263.2978515625	n/a	269618	1322	4005
263.2978515625	n/a	269618	1331	4025
268.6220703125	n/a	275070	2120	0
271.1318359375	n/a	277640	1332	4025
271.1318359375	n/a	277640	1311	1247
275.201171875	n/a	281807	2120	0
277.544921875	n/a	284207	1312	1247
277.544921875	n/a	284207	1311	1067
278.6884765625	n/a	285378	2120	0
280.4951171875	n/a	287228	1312	1067
280.4951171875	n/a	287228	1311	1211
281.568359375	n/a	288327	2120	0
283.462890625	n/a	290267	1312	1211
283.462890625	n/a	290267	1311	1147
284.3017578125	n/a	291126	2120	0
286.3134765625	n/a	293186	1312	1147
286.3134765625	n/a	293186	1311	1130
287.2861328125	n/a	294182	2120	0
289.0	n/a	295937	1312	1130
289.0	n/a	295937	1311	1056
289.8935546875	n/a	296852	2120	0
291.685546875	n/a	298687	1312	1056
291.685546875	n/a	298687	1311	1170
292.3017578125	n/a	299318	2120	0
293.9775390625	n/a	301034	1312	1170
293.9775390625	n/a	301034	1311	1012
294.95703125	n/a	302037	2120	0
296.6533203125	n/a	303774	1312	1012
296.6533203125	n/a	303774	1311	1104
301.1015625	n/a	308329	2110	0
301.6953125	n/a	308937	1312	1104
301.6953125	n/a	308937	1361	4049
306.1650390625	n/a	313514	2110	0
306.7607421875	n/a	314124	1362	4049
306.7607421875	n/a	314124	1311	1077
313.62890625	n/a	321157	2110	0
314.203125	n/a	321745	1312	1077
314.203125	n/a	321745	1311	1023
323.8125	n/a	331585	2120	0
326.8642578125	n/a	334710	1312	1023
326.8642578125	n/a	334710	1252	0
346.263671875	n/a	354575	1211	0
346.263671875	n/a	354575	1311	1165
352.9716796875	n/a	361444	2110	0
394.28125	n/a	403745	1312	1165
394.28125	n/a	403745	1311	1074
399.7294921875	n/a	409324	2110	0
417.4033203125	n/a	427422	1312	1074
417.4033203125	n/a	427422	1321	4016
419.296875	n/a	429361	2120	0
430.2197265625	n/a	440546	1322	4016
430.2197265625	n/a	440546	1351	4054
435.4404296875	n/a	445892	2120	0
485.3642578125	n/a	497014	1352	4054
485.3642578125	n/a	497014	1311	1124
492.23828125	n/a	504053	2110	0
492.8095703125	n/a	504638	1312	1124
492.8095703125	n/a	504638	1331	4031
499.0166015625	n/a	510994	2120	0
502.5439453125	n/a	514606	1332	4031
502.5439453125	n/a	514606	1311	1152
508.6083984375	n/a	520816	2110	0
509.2138671875	n/a	521436	1312	1152
509.2138671875	n/a	521436	1311	1233
513.94921875	n/a	526285	2110	0
514.5302734375	n/a	526880	1312	1233
514.5302734375	n/a	526880	1311	1011
524.1884765625	n/a	536770	2110	0
524.79296875	n/a	537389	1312	1011
524.79296875	n/a	537389	1311	1219
532.1083984375	n/a	544880	2110	0
532.6796875	n/a	545465	1312	1219
532.6796875	n/a	545465	1311	1047
539.4921875	n/a	552441	2110	0
540.09765625	n/a	553061	1312	1047
540.09765625	n/a	553061	1311	1101
545.0283203125	n/a	558110	2110	0
545.619140625	n/a	558715	1312	1101
545.619140625	n/a	558715	1361	4048
551.1875	n/a	564417	2110	0
551.7822265625	n/a	565026	1362	4048
551.7822265625	n/a	565026	1311	1095
558.083984375	n/a	571479	2110	0
558.6611328125	n/a	572070	1312	1095
558.6611328125	n/a	572070	1311	1238
564.677734375	n/a	578231	2110	0
565.2666015625	n/a	578834	1312	1238
565.2666015625	n/a	578834	1311	1093
570.0830078125	n/a	583766	2110	0
570.677734375	n/a	584375	1312	1093
570.677734375	n/a	584375	1311	1144
575.38671875	n/a	589197	2110	0
575.9609375	n/a	589785	1312	1144
575.9609375	n/a	589785	1311	1004
579.73828125	n/a	593653	2110	0
580.310546875	n/a	594239	1312	1004
580.310546875	n/a	594239	1311	1033
584.6904296875	n/a	598724	2110	0
585.3076171875	n/a	599356	1312	1033
585.3076171875	n/a	599356	1311	1253
593.2666015625	n/a	607506	2120	0
599.9970703125	n/a	614398	1312	1253
599.9970703125	n/a	614398	1311	1070
605.833984375	n/a	620375	2110	0
606.404296875	n/a	620959	1312	1070
606.404296875	n/a	620959	1321	4008
612.3212890625	n/a	627018	2120	0
614.267578125	n/a	629011	1322	4008
614.267578125	n/a	629011	1311	1091
618.609375	n/a	633457	2120	0
621.5068359375	n/a	636424	1312	1091
621.5068359375	n/a	636424	1331	4021
