name	x	y	z
A1	0.000000	0.000000	1.000000
A2	-0.160000	-0.000000	0.987000
A3	-0.316000	-0.000000	0.949000
A4	-0.463000	-0.000000	0.886000
A5	-0.599000	-0.000000	0.801000
A6	-0.719000	-0.000000	0.695000
A7	-0.695000	0.186000	0.695000
A8	-0.793000	0.213000	0.571000
A9	-0.882000	0.188000	0.432000
A10	-0.938000	0.199000	0.282000
A11	-0.973000	0.194000	0.125000
A12	-0.980000	0.195000	-0.035000
A13	-0.962000	0.191000	-0.194000
A14	-0.917000	0.195000	-0.349000
A15	-0.850000	0.181000	-0.494000
A16	-0.869000	-0.000000	-0.494000
A17	-0.937000	-0.000000	-0.349000
A18	-0.981000	-0.000000	-0.194000
A19	-0.999000	-0.000000	-0.035000
A20	-0.992000	-0.000000	0.125000
A21	-0.959000	-0.000000	0.282000
A22	-0.902000	-0.000000	0.432000
A23	-0.821000	-0.000000	0.571000
A24	-0.695000	-0.186000	0.695000
A25	-0.793000	-0.213000	0.571000
A26	-0.882000	-0.188000	0.432000
A27	-0.938000	-0.199000	0.282000
A28	-0.973000	-0.194000	0.125000
A29	-0.980000	-0.195000	-0.035000
A30	-0.962000	-0.191000	-0.194000
A31	-0.917000	-0.195000	-0.349000
A32	-0.850000	-0.181000	-0.494000
B1	-0.255000	-0.186000	0.949000
B2	-0.423000	-0.188000	0.886000
B3	-0.485000	-0.352000	0.801000
B4	-0.623000	-0.360000	0.695000
B5	-0.711000	-0.411000	0.571000
B6	-0.824000	-0.367000	0.432000
B7	-0.876000	-0.390000	0.282000
B8	-0.917000	-0.380000	0.125000
B9	-0.923000	-0.382000	-0.035000
B10	-0.906000	-0.375000	-0.194000
B11	-0.856000	-0.381000	-0.349000
B12	-0.794000	-0.354000	-0.494000
B13	-0.758000	-0.551000	-0.349000
B14	-0.816000	-0.545000	-0.194000
B15	-0.831000	-0.555000	-0.035000
B16	-0.825000	-0.551000	0.125000
B17	-0.776000	-0.564000	0.282000
