name	type	units	sampling_frequency	description
A1	EEG	uV	1024	n/a
A2	EEG	uV	1024	n/a
A3	EEG	uV	1024	n/a
A4	EEG	uV	1024	n/a
A5	EEG	uV	1024	n/a
A6	EEG	uV	1024	n/a
A7	EEG	uV	1024	n/a
A8	EEG	uV	1024	n/a
A9	EEG	uV	1024	n/a
A10	EEG	uV	1024	n/a
A11	EEG	uV	1024	n/a
A12	EEG	uV	1024	n/a
A13	EEG	uV	1024	n/a
A14	EEG	uV	1024	n/a
A15	EEG	uV	1024	n/a
A16	EEG	uV	1024	n/a
A17	EEG	uV	1024	n/a
A18	EEG	uV	1024	n/a
A19	EEG	uV	1024	n/a
A20	EEG	uV	1024	n/a
A21	EEG	uV	1024	n/a
A22	EEG	uV	1024	n/a
A23	EEG	uV	1024	n/a
A24	EEG	uV	1024	n/a
A25	EEG	uV	1024	n/a
A26	EEG	uV	1024	n/a
A27	EEG	uV	1024	n/a
A28	EEG	uV	1024	n/a
A29	EEG	uV	1024	n/a
A30	EEG	uV	1024	n/a
A31	EEG	uV	1024	n/a
A32	EEG	uV	1024	n/a
B1	EEG	uV	1024	n/a
B2	EEG	uV	1024	n/a
B3	EEG	uV	1024	n/a
B4	EEG	uV	1024	n/a
B5	EEG	uV	1024	n/a
B6	EEG	uV	1024	n/a
B7	EEG	uV	1024	n/a
B8	EEG	uV	1024	n/a
B9	EEG	uV	1024	n/a
B10	EEG	uV	1024	n/a
B11	EEG	uV	1024	n/a
B12	EEG	uV	1024	n/a
B13	EEG	uV	1024	n/a
B14	EEG	uV	1024	n/a
B15	EEG	uV	1024	n/a
B16	EEG	uV	1024	n/a
B17	EEG	uV	1024	n/a
B18	EEG	uV	1024	n/a
B19	EEG	uV	1024	n/a
B20	EEG	uV	1024	n/a
B21	EEG	uV	1024	n/a
B22	EEG	uV	1024	n/a
B23	EEG	uV	1024	n/a
B24	EEG	uV	1024	n/a
B25	EEG	uV	1024	n/a
B26	EEG	uV	1024	n/a
B27	EEG	uV	1024	n/a
B28	EEG	uV	1024	n/a
B29	EEG	uV	1024	n/a
B30	EEG	uV	1024	n/a
B31	EEG	uV	1024	n/a
B32	EEG	uV	1024	n/a
C1	EEG	uV	1024	n/a
C2	EEG	uV	1024	n/a
C3	EEG	uV	1024	n/a
C4	EEG	uV	1024	n/a
C5	EEG	uV	1024	n/a
C6	EEG	uV	1024	n/a
C7	EEG	uV	1024	n/a
C8	EEG	uV	1024	n/a
C9	EEG	uV	1024	n/a
C10	EEG	uV	1024	n/a
C11	EEG	uV	1024	n/a
C12	EEG	uV	1024	n/a
C13	EEG	uV	1024	n/a
C14	EEG	uV	1024	n/a
C15	EEG	uV	1024	n/a
C16	EEG	uV	1024	n/a
C17	EEG	uV	1024	n/a
C18	EEG	uV	1024	n/a
C19	EEG	uV	1024	n/a
C20	EEG	uV	1024	n/a
C21	EEG	uV	1024	n/a
C22	EEG	uV	1024	n/a
C23	EEG	uV	1024	n/a
C24	EEG	uV	1024	n/a
C25	EEG	uV	1024	n/a
C26	EEG	uV	1024	n/a
C27	EEG	uV	1024	n/a
C28	EEG	uV	1024	n/a
C29	EEG	uV	1024	n/a
C30	EEG	uV	1024	n/a
C31	EEG	uV	1024	n/a
C32	EEG	uV	1024	n/a
D1	EEG	uV	1024	n/a
D2	EEG	uV	1024	n/a
D3	EEG	uV	1024	n/a
D4	EEG	uV	1024	n/a
D5	EEG	uV	1024	n/a
D6	EEG	uV	1024	n/a
D7	EEG	uV	1024	n/a
D8	EEG	uV	1024	n/a
D9	EEG	uV	1024	n/a
D10	EEG	uV	1024	n/a
D11	EEG	uV	1024	n/a
D12	EEG	uV	1024	n/a
D13	EEG	uV	1024	n/a
D14	EEG	uV	1024	n/a
D15	EEG	uV	1024	n/a
D16	EEG	uV	1024	n/a
D17	EEG	uV	1024	n/a
D18	EEG	uV	1024	n/a
D19	EEG	uV	1024	n/a
D20	EEG	uV	1024	n/a
D21	EEG	uV	1024	n/a
D22	EEG	uV	1024	n/a
D23	EEG	uV	1024	n/a
D24	EEG	uV	1024	n/a
D25	EEG	uV	1024	n/a
D26	EEG	uV	1024	n/a
D27	EEG	uV	1024	n/a
D28	EEG	uV	1024	n/a
D29	EEG	uV	1024	n/a
D30	EEG	uV	1024	n/a
D31	EEG	uV	1024	n/a
D32	EEG	uV	1024	n/a
E1	EEG	uV	1024	n/a
E2	EEG	uV	1024	n/a
E3	EEG	uV	1024	n/a
E4	EEG	uV	1024	n/a
E5	EEG	uV	1024	n/a
E6	EEG	uV	1024	n/a
E7	EEG	uV	1024	n/a
E8	EEG	uV	1024	n/a
E9	EEG	uV	1024	n/a
E10	EEG	uV	1024	n/a
E11	EEG	uV	1024	n/a
E12	EEG	uV	1024	n/a
E13	EEG	uV	1024	n/a
E14	EEG	uV	1024	n/a
E15	EEG	uV	1024	n/a
E16	EEG	uV	1024	n/a
E17	EEG	uV	1024	n/a
E18	EEG	uV	1024	n/a
E19	EEG	uV	1024	n/a
E20	EEG	uV	1024	n/a
E21	EEG	uV	1024	n/a
E22	EEG	uV	1024	n/a
E23	EEG	uV	1024	n/a
E24	EEG	uV	1024	n/a
E25	EEG	uV	1024	n/a
E26	EEG	uV	1024	n/a
E27	EEG	uV	1024	n/a
E28	EEG	uV	1024	n/a
E29	EEG	uV	1024	n/a
E30	EEG	uV	1024	n/a
E31	EEG	uV	1024	n/a
E32	EEG	uV	1024	n/a
F1	EEG	uV	1024	n/a
F2	EEG	uV	1024	n/a
F3	EEG	uV	1024	n/a
F4	EEG	uV	1024	n/a
