name	x	y	z
FP1	0.950400	0.307447	-0.047075
FPZ	0.999779	-0.000000	-0.021016
FP2	0.950400	-0.307447	-0.047075
AF7	0.808131	0.584817	-0.070094
AF3	0.895916	0.370386	0.245250
AFZ	0.929707	-0.000000	0.368300
AF4	0.895916	-0.370386	0.245250
AF8	0.808481	-0.584340	-0.070032
F9	0.523344	0.702453	-0.482359
F7	0.586723	0.804981	-0.088102
F5	0.635738	0.741859	0.213266
F3	0.677066	0.567060	0.469068
F1	0.704860	0.306379	0.639769
FZ	0.714575	-0.000000	0.699559
F2	0.704399	-0.306179	0.640372
F4	0.677459	-0.566383	0.469317
F6	0.635602	-0.741701	0.214217
F8	0.587370	-0.804512	-0.088070
F10	0.523344	-0.702453	-0.482359
FT9	0.274136	0.824420	-0.495158
FT7	0.308323	0.945999	-0.100112
FC5	0.338385	0.897025	0.284327
FC3	0.364178	0.697349	0.617316
FC1	0.381596	0.380598	0.842336
FCZ	0.387380	-0.000000	0.921920
FC2	0.381596	-0.380598	0.842336
FC4	0.364178	-0.697349	0.617316
FC6	0.338385	-0.897025	0.284327
FT8	0.308323	-0.945999	-0.100112
FT10	0.274136	-0.824420	-0.495158
T7	0.000000	0.994572	-0.104049
C5	0.000000	0.950959	0.309316
C3	0.000000	0.743194	0.669076
C1	0.000000	0.406325	0.913729
CZ	0.000000	-0.000000	1.000000
C2	0.000000	-0.407158	0.913358
C4	0.000000	-0.743152	0.669123
C6	0.000000	-0.950959	0.309316
T8	0.000000	-0.994572	-0.104049
TP9	-0.274093	0.824434	-0.495158
TP7	-0.308290	0.946010	-0.100112
CP5	-0.338416	0.897013	0.284327
CP3	-0.364117	0.697381	0.617316
CP1	-0.381563	0.380632	0.842336
CPZ	-0.387380	-0.000000	0.921920
CP2	-0.381563	-0.380632	0.842336
CP4	-0.364117	-0.697381	0.617316
CP6	-0.338416	-0.897013	0.284327
TP8	-0.309282	-0.945690	-0.100080
TP10	-0.274093	-0.824434	-0.495158
P7	-0.586765	0.804950	-0.088102
P5	-0.635673	0.741915	0.213266
P3	-0.677037	0.567095	0.469068
P1	-0.704876	0.306342	0.639769
PZ	-0.714575	-0.000000	0.699559
P2	-0.704415	-0.306142	0.640372
P4	-0.677429	-0.566419	0.469317
P6	-0.635538	-0.741757	0.214217
P8	-0.587328	-0.804543	-0.088070
PO9	-0.723570	0.512506	-0.462368
PO7	-0.808151	0.584789	-0.070094
PO3	-0.895923	0.370371	0.245250
POZ	-0.929707	-0.000000	0.368300
PO4	-0.895923	-0.370371	0.245250
PO8	-0.808461	-0.584368	-0.070032
PO10	-0.724058	-0.512093	-0.462061
O1	-0.950379	0.307514	-0.047075
OZ	-0.999779	-0.000000	-0.021016
O2	-0.950379	-0.307514	-0.047075
LEYE	0.670689	0.674304	-0.309017
REYE	0.809995	-0.295999	-0.506254
