name	type	units
FP1	EEG	microV
FPZ	EEG	microV
FP2	EEG	microV
AF7	EEG	microV
AF3	EEG	microV
AFZ	EEG	microV
AF4	EEG	microV
AF8	EEG	microV
F9	EEG	microV
F7	EEG	microV
F5	EEG	microV
F3	EEG	microV
F1	EEG	microV
FZ	EEG	microV
F2	EEG	microV
F4	EEG	microV
F6	EEG	microV
F8	EEG	microV
F10	EEG	microV
FT9	EEG	microV
FT7	EEG	microV
FC5	EEG	microV
FC3	EEG	microV
FC1	EEG	microV
FCZ	EEG	microV
FC2	EEG	microV
FC4	EEG	microV
FC6	EEG	microV
FT8	EEG	microV
FT10	EEG	microV
T7	EEG	microV
C5	EEG	microV
C3	EEG	microV
C1	EEG	microV
CZ	EEG	microV
C2	EEG	microV
C4	EEG	microV
C6	EEG	microV
T8	EEG	microV
TP9	EEG	microV
TP7	EEG	microV
CP5	EEG	microV
CP3	EEG	microV
CP1	EEG	microV
CPZ	EEG	microV
CP2	EEG	microV
CP4	EEG	microV
CP6	EEG	microV
TP8	EEG	microV
TP10	EEG	microV
P7	EEG	microV
P5	EEG	microV
P3	EEG	microV
P1	EEG	microV
PZ	EEG	microV
P2	EEG	microV
P4	EEG	microV
P6	EEG	microV
P8	EEG	microV
PO9	EEG	microV
PO7	EEG	microV
PO3	EEG	microV
POZ	EEG	microV
PO4	EEG	microV
PO8	EEG	microV
PO10	EEG	microV
O1	EEG	microV
OZ	EEG	microV
O2	EEG	microV
LEYE	EOG	microV
REYE	EOG	microV
