onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
3.084	1257.05	772	show_cross	fixate	+	1	5	nonWM
8.3300839902	305.975	2084	show_letter	to_ignore	B	1	5	gB
9.7719795898	309.95	2444	show_letter	to_ignore	H	1	5	gH
11.2296751413	305.95	2808	show_letter	to_remember	D	1	5	D
12.6714707413	305.975	3169	show_letter	to_remember	R	1	5	R
14.1132663412	305.95	3529	show_letter	to_remember	N	1	5	N
15.5540619443	305.95	3890	show_letter	to_remember	Z	1	5	Z
16.9957575446	305.975	4250	show_letter	to_remember	V	1	5	V
18.4375531445	305.95	4610	show_letter	to_ignore	L	1	5	gL
19.8793487445	749.9	4971	show_dash	work_memory	-	1	5	WM
23.0968389255	305.95	5775	show_letter	probe_target	R	1	5	rR
24.959533241	0.0	6241	right_click	remembered_correct	n/a	1	5	1
25.35963202	0.0	6341	sound_beep	feedback_correct	n/a	1	5	correct
31.8671121606	0.0	7968	right_click	indicate_ready	n/a	1	5	1
31.8975120679	1257.075	7975	show_cross	fixate	+	2	3	nonWM
37.1436960577	305.95	9287	show_letter	to_ignore	D	2	3	gD
38.5844916608	305.95	9647	show_letter	to_ignore	M	2	3	gM
40.0262872607	305.95	10008	show_letter	to_ignore	B	2	3	gB
41.4680828607	305.95	10368	show_letter	to_remember	Y	2	3	Y
42.909778461	305.725	10728	show_letter	to_ignore	H	2	3	gH
44.350574064	305.95	11089	show_letter	to_remember	Q	2	3	Q
45.792369664	305.95	11449	show_letter	to_remember	C	2	3	C
47.2342652637	305.925	11810	show_letter	to_ignore	G	2	3	gG
48.675960864	842.125	12170	show_dash	work_memory	-	2	3	WM
52.2623499191	305.95	13067	show_letter	probe_target	C	2	3	rC
53.855245058	0.0	13465	right_click	remembered_correct	n/a	2	3	1
54.255343837	0.0	13565	sound_beep	feedback_correct	n/a	2	3	correct
62.1865196329	0.0	15548	right_click	indicate_ready	n/a	2	3	1
62.2188195343	1257.075	15556	show_cross	fixate	+	3	7	nonWM
67.4650035242	305.975	16867	show_letter	to_remember	W	3	7	W
68.9067991241	305.95	17228	show_letter	to_ignore	T	3	7	gT
70.3485947241	305.7	17588	show_letter	to_remember	M	3	7	M
71.7893903271	305.95	17948	show_letter	to_remember	P	3	7	P
73.2311859271	305.95	18309	show_letter	to_remember	G	3	7	G
74.6728815274	305.975	18669	show_letter	to_remember	H	3	7	H
76.1146771274	305.725	19030	show_letter	to_remember	Z	3	7	Z
77.5554727304	305.95	19390	show_letter	to_remember	N	3	7	N
78.9972683304	766.875	19750	show_dash	work_memory	-	3	7	WM
82.2828583035	247.2	20572	show_letter	probe_target	M	3	7	rM
83.2520553458	0.0	20814	right_click	remembered_correct	n/a	3	7	1
83.6524541238	0.0	20914	sound_beep	feedback_correct	n/a	3	7	correct
88.2878399777	0.0	22073	right_click	indicate_ready	n/a	3	7	1
88.3168398892	1257.05	22080	show_cross	fixate	+	4	7	nonWM
93.5630238791	305.95	23392	show_letter	to_remember	W	4	7	W
95.0049194788	305.925	23752	show_letter	to_remember	Z	4	7	Z
96.4465150793	305.725	24113	show_letter	to_remember	V	4	7	V
97.8874106821	305.925	24473	show_letter	to_remember	D	4	7	D
99.3291062823	305.975	24833	show_letter	to_ignore	F	4	7	gF
100.7709018823	305.95	25194	show_letter	to_remember	X	4	7	X
102.2116974854	305.95	25554	show_letter	to_remember	M	4	7	M
103.6534930853	305.95	25914	show_letter	to_remember	Y	4	7	Y
105.0952886853	620.15	26275	show_dash	work_memory	-	4	7	WM
107.7937804501	305.975	26949	show_letter	probe_not_shown	G	4	7	rG
109.4061755295	0.0	27353	left_click	ignored_correct	n/a	4	7	255
109.8062743085	0.0	27453	sound_beep	feedback_correct	n/a	4	7	correct
116.8148529199	0.0	29205	right_click	indicate_ready	n/a	4	7	1
116.8454528265	1257.05	29212	show_cross	fixate	+	5	3	nonWM
122.0917368161	305.925	30524	show_letter	to_ignore	S	5	3	gS
123.5494323676	305.95	30888	show_letter	to_remember	Z	5	3	Z
124.9912279675	305.975	31249	show_letter	to_remember	F	5	3	F
126.4329235678	305.975	31609	show_letter	to_ignore	D	5	3	gD
127.8737191708	305.95	31969	show_letter	to_ignore	G	5	3	gG
129.3155147708	305.95	32330	show_letter	to_remember	W	5	3	W
130.7573103708	305.95	32690	show_letter	to_ignore	V	5	3	gV
132.1991059708	305.7	33051	show_letter	to_ignore	Q	5	3	gQ
133.6398015741	787.9	33411	show_dash	work_memory	-	5	3	WM
137.0092912912	251.5	34253	show_letter	probe_not_shown	L	5	3	rL
137.9860883102	0.0	34498	left_click	ignored_correct	n/a	5	3	255
138.3861870892	0.0	34598	sound_beep	feedback_correct	n/a	5	3	correct
143.0218729422	0.0	35756	right_click	indicate_ready	n/a	5	3	1
143.0433728766	1257.075	35762	show_cross	fixate	+	6	5	nonWM
148.2895568665	305.975	37073	show_letter	to_ignore	S	6	5	gS
149.7313524664	305.975	37434	show_letter	to_remember	C	6	5	C
151.1731480664	305.95	37794	show_letter	to_remember	G	6	5	G
152.6139436694	305.95	38154	show_letter	to_remember	P	6	5	P
154.0557392694	305.95	38515	show_letter	to_ignore	F	6	5	gF
155.4975348694	305.95	38875	show_letter	to_remember	M	6	5	M
156.9392304697	305.7	39236	show_letter	to_ignore	J	6	5	gJ
158.3800260727	305.95	39596	show_letter	to_remember	L	6	5	L
159.8218216727	750.15	39956	show_dash	work_memory	-	6	5	WM
163.0404118503	305.925	40761	show_letter	probe_target	G	6	5	rG
164.430507608	0.0	41109	right_click	remembered_correct	n/a	6	5	1
164.830606387	0.0	41209	sound_beep	feedback_correct	n/a	6	5	correct
173.8956787225	0.0	43475	right_click	indicate_ready	n/a	6	5	1
173.9186786523	1257.05	43481	show_cross	fixate	+	7	3	nonWM
179.1648626422	305.95	44792	show_letter	to_remember	Q	7	3	Q
180.6066582422	305.7	45153	show_letter	to_ignore	P	7	3	gP
182.0473538455	305.975	45513	show_letter	to_remember	J	7	3	J
183.4891494455	305.95	45873	show_letter	to_ignore	T	7	3	gT
184.9309450455	305.95	46234	show_letter	to_ignore	Z	7	3	gZ
186.3727406454	305.7	46594	show_letter	to_ignore	K	7	3	gK
187.8135362485	305.95	46954	show_letter	to_remember	D	7	3	D
189.2553318484	305.95	47315	show_letter	to_ignore	C	7	3	gC
190.6971274484	745.875	47675	show_dash	work_memory	-	7	3	WM
193.8986176782	314.2	48476	show_letter	probe_target	J	7	3	rJ
195.1199139511	0.0	48781	right_click	remembered_correct	n/a	7	3	1
195.5201127298	0.0	48881	sound_beep	feedback_correct	n/a	7	3	correct
200.1821985022	0.0	50047	right_click	indicate_ready	n/a	7	3	1
200.200598446	1257.05	50051	show_cross	fixate	+	8	7	nonWM
205.4467824359	305.95	51363	show_letter	to_ignore	C	8	7	gC
206.8885780359	305.975	51723	show_letter	to_remember	Z	8	7	Z
208.3303736359	305.95	52084	show_letter	to_remember	L	8	7	L
209.7711692389	305.95	52444	show_letter	to_remember	K	8	7	K
211.2128648392	305.975	52804	show_letter	to_remember	R	8	7	R
212.6546604391	305.95	53165	show_letter	to_remember	G	8	7	G
214.0964560391	305.7	53525	show_letter	to_remember	B	8	7	B
215.5372516422	305.95	53885	show_letter	to_remember	T	8	7	T
216.9790472421	519.7	54246	show_dash	work_memory	-	8	7	WM
219.2756402335	305.95	54820	show_letter	probe_target	Z	8	7	rZ
220.5628363052	0.0	55142	right_click	remembered_correct	n/a	8	7	1
220.9629350842	0.0	55242	sound_beep	feedback_correct	n/a	8	7	correct
225.8096202933	0.0	56453	right_click	indicate_ready	n/a	8	7	1
225.8296202322	1257.1	56458	show_cross	fixate	+	9	5	nonWM
231.0759042218	305.95	57770	show_letter	to_remember	K	9	5	K
232.5165998251	305.975	58130	show_letter	to_ignore	Z	9	5	gZ
233.9583954251	305.95	58491	show_letter	to_remember	J	9	5	J
235.4001910251	305.95	58851	show_letter	to_remember	V	9	5	V
236.8419866251	305.7	59211	show_letter	to_remember	R	9	5	R
238.2826822284	305.975	59572	show_letter	to_ignore	H	9	5	gH
239.7244778284	305.925	59932	show_letter	to_ignore	M	9	5	gM
241.166373428	305.925	60293	show_letter	to_remember	S	9	5	S
242.6080690283	754.15	60653	show_dash	work_memory	-	9	5	WM
245.8425591574	259.725	61462	show_letter	probe_target	R	9	5	rR
246.8494560846	0.0	61713	right_click	remembered_correct	n/a	9	5	1
247.2496548633	0.0	61813	sound_beep	feedback_correct	n/a	9	5	correct
251.2526426471	0.0	62814	right_click	indicate_ready	n/a	9	5	1
251.2737425827	1257.05	62819	show_cross	fixate	+	10	5	nonWM
256.5200265723	305.925	64131	show_letter	to_remember	D	10	5	D
257.9617221725	305.7	64491	show_letter	to_ignore	C	10	5	gC
259.4025177756	305.95	64852	show_letter	to_remember	L	10	5	L
260.8443133755	305.95	65212	show_letter	to_remember	S	10	5	S
262.2860089758	305.95	65573	show_letter	to_remember	J	10	5	J
263.7268045789	305.95	65933	show_letter	to_ignore	K	10	5	gK
265.1686001788	305.95	66293	show_letter	to_remember	H	10	5	H
266.6103957788	305.95	66654	show_letter	to_ignore	V	10	5	gV
268.0521913788	863.1	67014	show_dash	work_memory	-	10	5	WM
271.7225801776	289.2	67932	show_letter	probe_target	L	10	5	rL
272.8462767484	0.0	68213	right_click	remembered_correct	n/a	10	5	1
273.2463755273	0.0	68313	sound_beep	feedback_correct	n/a	10	5	correct
281.177951322	0.0	70295	right_click	indicate_ready	n/a	10	5	1
281.2101512238	1257.075	70304	show_cross	fixate	+	11	3	nonWM
286.4563352136	305.95	71615	show_letter	to_ignore	J	11	3	gJ
287.8971308167	305.925	71975	show_letter	to_ignore	C	11	3	gC
289.3388264169	305.975	72336	show_letter	to_ignore	L	11	3	gL
290.7806220169	305.975	72696	show_letter	to_remember	S	11	3	S
292.2224176169	305.7	73057	show_letter	to_remember	G	11	3	G
293.6632132199	305.95	73417	show_letter	to_remember	V	11	3	V
295.1049088202	305.975	73777	show_letter	to_ignore	R	11	3	gR
296.5468044199	305.95	74138	show_letter	to_ignore	T	11	3	gT
297.9885000201	557.175	74498	show_dash	work_memory	-	11	3	WM
300.4351925534	305.95	75110	show_letter	probe_target	V	11	3	rV
301.6642888025	0.0	75417	right_click	remembered_correct	n/a	11	3	1
302.0643875815	0.0	75517	sound_beep	feedback_correct	n/a	11	3	correct
305.9882756067	0.0	76498	right_click	indicate_ready	n/a	11	3	1
306.0172755182	1257.1	76505	show_cross	fixate	+	12	5	nonWM
311.2635595078	305.95	77817	show_letter	to_remember	K	12	5	K
312.705255108	305.725	78177	show_letter	to_ignore	C	12	5	gC
314.1460507111	305.95	78538	show_letter	to_remember	J	12	5	J
315.587846311	305.95	78898	show_letter	to_ignore	Y	12	5	gY
317.029641911	305.7	79258	show_letter	to_remember	L	12	5	L
318.470437514	305.95	79619	show_letter	to_remember	D	12	5	D
319.912233114	305.95	79979	show_letter	to_remember	M	12	5	M
321.354028714	305.925	80340	show_letter	to_ignore	S	12	5	gS
322.7957243143	519.425	80700	show_dash	work_memory	-	12	5	WM
325.0914173083	305.95	81274	show_letter	probe_target	J	12	5	rJ
327.0021114774	0.0	81752	right_click	remembered_correct	n/a	12	5	1
327.402310256	0.0	81852	sound_beep	feedback_correct	n/a	12	5	correct
333.6990910397	0.0	83426	right_click	indicate_ready	n/a	12	5	1
333.7241909631	1257.025	83432	show_cross	fixate	+	13	5	nonWM
338.9702749533	305.975	84744	show_letter	to_remember	L	13	5	L
340.4119705536	305.975	85104	show_letter	to_ignore	G	13	5	gG
341.8527661566	305.95	85464	show_letter	to_remember	Q	13	5	Q
343.2945617566	305.95	85825	show_letter	to_remember	F	13	5	F
344.7363573566	305.95	86185	show_letter	to_remember	Z	13	5	Z
346.1781529565	305.7	86546	show_letter	to_remember	T	13	5	T
347.6189485596	305.95	86906	show_letter	to_ignore	R	13	5	gR
349.0607441595	305.95	87266	show_letter	to_ignore	M	13	5	gM
350.5025397595	926.1	87627	show_dash	work_memory	-	13	5	WM
354.4248277896	196.975	88607	show_letter	probe_target	L	13	5	rL
355.187525462	0.0	88798	right_click	remembered_correct	n/a	13	5	1
355.587624241	0.0	88898	sound_beep	feedback_correct	n/a	13	5	correct
358.9051141168	0.0	89727	right_click	indicate_ready	n/a	13	5	1
358.9332140311	1257.05	89734	show_cross	fixate	+	14	5	nonWM
364.1793980209	305.95	91046	show_letter	to_ignore	Z	14	5	gZ
365.6210936212	305.975	91406	show_letter	to_remember	T	14	5	T
367.0629892209	305.925	91767	show_letter	to_remember	M	14	5	M
368.5046848212	305.7	92127	show_letter	to_remember	S	14	5	S
369.9454804242	305.95	92487	show_letter	to_ignore	Y	14	5	gY
371.3872760242	305.95	92848	show_letter	to_remember	V	14	5	V
372.8289716245	305.975	93208	show_letter	to_remember	N	14	5	N
374.2697672275	305.95	93568	show_letter	to_ignore	H	14	5	gH
375.7115628275	544.925	93929	show_dash	work_memory	-	14	5	WM
378.1082555133	305.95	94528	show_letter	probe_not_shown	Q	14	5	rQ
380.2090491022	0.0	95053	left_click	ignored_correct	n/a	14	5	255
380.6091478812	0.0	95153	sound_beep	feedback_correct	n/a	14	5	correct
383.6630385614	0.0	95917	right_click	indicate_ready	n/a	14	5	1
383.6903384781	1257.075	95924	show_cross	fixate	+	15	5	nonWM
388.936522468	305.95	97235	show_letter	to_remember	M	15	5	M
390.3783180679	305.95	97596	show_letter	to_ignore	G	15	5	gG
391.8201136679	305.7	97956	show_letter	to_remember	L	15	5	L
393.2609092709	305.95	98316	show_letter	to_remember	Z	15	5	Z
394.7027048709	305.975	98677	show_letter	to_remember	B	15	5	B
396.1445004709	305.925	99037	show_letter	to_remember	Y	15	5	Y
397.5861960712	305.7	99398	show_letter	to_ignore	R	15	5	gR
399.0269916742	305.95	99758	show_letter	to_ignore	C	15	5	gC
400.4687872742	603.4	100118	show_dash	work_memory	-	15	5	WM
403.1003792432	305.95	100776	show_letter	probe_not_shown	T	15	5	rT
404.9932734665	0.0	101249	left_click	ignored_correct	n/a	15	5	255
405.3933722455	0.0	101349	sound_beep	feedback_correct	n/a	15	5	correct
415.1971423267	0.0	103800	right_click	indicate_ready	n/a	15	5	1
415.2185422614	1257.3	103806	show_cross	fixate	+	16	3	nonWM
420.4657262482	305.7	105117	show_letter	to_ignore	J	16	3	gJ
421.9065218512	305.95	105478	show_letter	to_ignore	Q	16	3	gQ
423.3482174515	306.0	105838	show_letter	to_remember	D	16	3	D
424.7901130511	305.925	106199	show_letter	to_remember	H	16	3	H
426.2318086514	305.7	106559	show_letter	to_ignore	X	16	3	gX
427.6726042545	305.95	106919	show_letter	to_remember	G	16	3	G
429.1143998544	305.95	107280	show_letter	to_ignore	C	16	3	gC
430.5560954547	305.975	107640	show_letter	to_ignore	W	16	3	gW
431.9968910577	838.125	108000	show_dash	work_memory	-	16	3	WM
435.5673801614	247.2	108893	show_letter	probe_target	D	16	3	rD
436.5278772302	0.0	109133	right_click	remembered_correct	n/a	16	3	1
436.9280760089	0.0	109233	sound_beep	feedback_correct	n/a	16	3	correct
438.9273699075	0.0	109733	right_click	indicate_ready	n/a	16	3	1
438.9538698267	1257.075	109739	show_cross	fixate	+	17	7	nonWM
444.2000538165	305.95	111051	show_letter	to_remember	J	17	7	J
445.6418494165	305.7	111411	show_letter	to_remember	C	17	7	C
447.0826450195	305.95	111772	show_letter	to_remember	F	17	7	F
448.5243406198	305.95	112132	show_letter	to_remember	M	17	7	M
449.9661362198	305.7	112493	show_letter	to_ignore	L	17	7	gL
451.4069318228	305.925	112853	show_letter	to_remember	K	17	7	K
452.8487274228	305.95	113213	show_letter	to_remember	Q	17	7	Q
454.2906230225	305.925	113574	show_letter	to_remember	W	17	7	W
455.732218623	569.925	113934	show_dash	work_memory	-	17	7	WM
458.2289110037	305.95	114558	show_letter	probe_not_shown	B	17	7	rB
460.2846047302	0.0	115072	left_click	ignored_correct	n/a	17	7	255
460.6847035092	0.0	115172	sound_beep	feedback_correct	n/a	17	7	correct
463.3694953159	0.0	115843	right_click	indicate_ready	n/a	17	7	1
463.3921952466	1257.025	115849	show_cross	fixate	+	18	5	nonWM
468.6382792368	305.975	117161	show_letter	to_remember	K	18	5	K
470.0800748367	305.95	117521	show_letter	to_ignore	W	18	5	gW
471.5208704398	305.95	117881	show_letter	to_remember	Z	18	5	Z
472.9626660397	305.95	118242	show_letter	to_ignore	Q	18	5	gQ
474.40436164	305.95	118602	show_letter	to_remember	D	18	5	D
475.84615724	305.7	118963	show_letter	to_remember	C	18	5	C
477.286952843	305.95	119323	show_letter	to_ignore	M	18	5	gM
478.728748443	305.95	119683	show_letter	to_remember	P	18	5	P
