column_name	column_value	description	HED
value	11101	Description for 11101	Label/11101
value	11102	Description for 11102	Label/11102
value	12101	Description for 12101	Label/12101
value	12102	Description for 12102	Label/12102
value	12201	Description for 12201	Label/12201
value	12202	Description for 12202	Label/12202
value	12301	Description for 12301	Label/12301
value	12302	Description for 12302	Label/12302
value	12401	Description for 12401	Label/12401
value	12402	Description for 12402	Label/12402
value	12501	Description for 12501	Label/12501
value	12502	Description for 12502	Label/12502
value	13110	Description for 13110	Label/13110
value	13120	Description for 13120	Label/13120
value	13210	Description for 13210	Label/13210
value	13220	Description for 13220	Label/13220
value	21121	Description for 21121	Label/21121
value	21122	Description for 21122	Label/21122
value	21131	Description for 21131	Label/21131
value	21132	Description for 21132	Label/21132
value	21221	Description for 21221	Label/21221
value	21222	Description for 21222	Label/21222
value	21231	Description for 21231	Label/21231
value	21232	Description for 21232	Label/21232
value	31101	Description for 31101	Label/31101
value	31102	Description for 31102	Label/31102
value	32202	Description for 32202	Label/32202
value	32301	Description for 32301	Label/32301
value	32302	Description for 32302	Label/32302
value	32401	Description for 32401	Label/32401
value	32402	Description for 32402	Label/32402
imagecategory	0	Description for 0	Label/0
imagecategory	1	Description for 1	Label/1
imagecategory	2	Description for 2	Label/2
imagecategory	3	Description for 3	Label/3
imagecategory	4	Description for 4	Label/4
imagecategory	5	Description for 5	Label/5
imagecategory	6	Description for 6	Label/6
cameradistance	0	Description for 0	Label/0
cameradistance	1	Description for 1	Label/1
cameradistance	2	Description for 2	Label/2
cameradistance	3	Description for 3	Label/3
cameradistance	4	Description for 4	Label/4
cameradistance	5	Description for 5	Label/5
imagelocation	0	Description for 0	Label/0
imagelocation	1	Description for 1	Label/1
imagelocation	2	Description for 2	Label/2
imageclutter	0	Description for 0	Label/0
imageclutter	1	Description for 1	Label/1
imageclutter	2	Description for 2	Label/2
imageclutter	3	Description for 3	Label/3
imageclutter	4	Description for 4	Label/4
imageclutter	5	Description for 5	Label/5
tgtocclusion	0	Description for 0	Label/0
tgtocclusion	1	Description for 1	Label/1
tgtocclusion	2	Description for 2	Label/2
tgtocclusion	3	Description for 3	Label/3
tgtocclusion	4	Description for 4	Label/4
tgtocclusion	5	Description for 5	Label/5
tgtcontrast	0	Description for 0	Label/0
tgtcontrast	1	Description for 1	Label/1
tgtcontrast	2	Description for 2	Label/2
tgtcontrast	3	Description for 3	Label/3
gid	n/a	Description for gid	Label/#
imageid	n/a	Description for imageid	Label/#
buttonpressduration	n/a	Description for buttonpressduration	Label/#
reactiontime	n/a	Description for reactiontime	Label/#
luminance	n/a	Description for luminance	Label/#
tgtorientation	n/a	Description for tgtorientation	Label/#
tgtsize	n/a	Description for tgtsize	Label/#
tgtdistfromcenter	n/a	Description for tgtdistfromcenter	Label/#
numberoftargets	n/a	Description for numberoftargets	Label/#
numberofclasses	n/a	Description for numberofclasses	Label/#
