onset	duration	sample	value	gid	imageid	buttonpressduration	reactiontime	imagecategory	cameradistance	imagelocation	imageclutter	luminance	tgtorientation	tgtocclusion	tgtcontrast	tgtsize	tgtdistfromcenter	numberoftargets	numberofclasses
310.8779296875	n/a	318340	11101	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
310.8779296875	n/a	318340	12501	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
310.8779296875	n/a	318340	13210	2043	21220	0.0	0.0	6	2	1	4	83.603755	0	0	0	0.0	0.0	0	0
311.0615234375	n/a	318528	13210	2037	21212	0.0	0.0	6	2	1	2	88.246988	0	0	0	0.0	0.0	0	0
311.2451171875	n/a	318716	13210	1755	20884	0.0	0.0	6	4	2	3	144.167458	0	0	0	0.0	0.0	0	0
311.4287109375	n/a	318904	13210	2159	21340	0.0	0.0	6	2	1	2	115.785332	0	0	0	0.0	0.0	0	0
311.61328125	n/a	319093	13210	2353	21547	0.0	0.0	6	2	1	2	19.076631	0	0	0	0.0	0.0	0	0
311.796875	n/a	319281	13210	1743	20870	0.0	0.0	6	1	1	2	122.721355	0	0	0	0.0	0.0	0	0
311.98046875	n/a	319469	13120	8404	11440	0.0	0.0	4	1	1	2	91.540009	45	1	2	0.224981	31.890437	2	2
312.1640625	n/a	319657	13210	1510	20622	0.0	0.0	6	2	1	2	148.471687	0	0	0	0.0	0.0	0	0
312.34765625	n/a	319845	13210	2510	21718	0.0	0.0	6	1	1	2	78.671522	0	0	0	0.0	0.0	0	0
312.53125	n/a	320033	13210	1033	20045	0.0	0.0	6	1	1	2	158.359099	0	0	0	0.0	0.0	0	0
312.71484375	n/a	320221	13210	1856	20995	0.0	0.0	6	2	1	3	133.727267	0	0	0	0.0	0.0	0	0
312.8984375	n/a	320409	13220	1807	20943	0.0	0.0	6	1	1	2	66.020424	0	0	0	0.0	0.0	0	0
313.08203125	n/a	320597	13210	1255	20325	0.0	0.0	6	2	1	2	74.623559	0	0	0	0.0	0.0	0	0
313.265625	n/a	320785	13210	2169	21350	0.0	0.0	6	3	1	2	129.960721	0	0	0	0.0	0.0	0	0
313.44921875	n/a	320973	13210	1776	20908	0.0	0.0	6	1	1	2	125.423467	0	0	0	0.0	0.0	0	0
313.451171875	n/a	320975	21121	1807	20943	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
313.6337890625	n/a	321162	13210	1897	21045	0.0	0.0	6	3	2	2	92.088154	0	0	0	0.0	0.0	0	0
313.7080078125	n/a	321238	21122	0	0	0.2568359375	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
313.8173828125	n/a	321350	13120	8182	10620	0.0	0.0	5	3	1	3	89.539998	90	3	2	0.016259	240.141625	2	1
314.0009765625	n/a	321538	13210	2407	21606	0.0	0.0	6	1	1	2	131.363613	0	0	0	0.0	0.0	0	0
314.1845703125	n/a	321726	13210	1242	20312	0.0	0.0	6	1	2	2	152.268156	0	0	0	0.0	0.0	0	0
314.3681640625	n/a	321914	13210	1661	20785	0.0	0.0	6	2	1	2	56.542758	0	0	0	0.0	0.0	0	0
314.5517578125	n/a	322102	13210	2321	21511	0.0	0.0	6	2	1	3	165.537176	0	0	0	0.0	0.0	0	0
314.7353515625	n/a	322290	13110	8027	10107	0.0	0.0	5	3	2	2	159.47322	0	4	1	0.078057	223.544179	1	1
314.9189453125	n/a	322478	13210	2209	21390	0.0	0.0	6	1	1	4	51.154391	0	0	0	0.0	0.0	0	0
315.1025390625	n/a	322666	13210	1118	20165	0.0	0.0	6	2	1	3	131.398978	0	0	0	0.0	0.0	0	0
315.2861328125	n/a	322854	13210	1995	21161	0.0	0.0	6	2	1	3	108.474597	0	0	0	0.0	0.0	0	0
315.4091796875	n/a	322980	21131	8027	10107	0.0	0.673828125	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
315.4697265625	n/a	323042	13210	1998	21165	0.0	0.0	6	1	1	3	104.579935	0	0	0	0.0	0.0	0	0
315.6533203125	n/a	323230	13210	1243	20313	0.0	0.0	6	2	2	2	118.074939	0	0	0	0.0	0.0	0	0
315.837890625	n/a	323419	13210	2515	21723	0.0	0.0	6	4	1	2	133.194417	0	0	0	0.0	0.0	0	0
315.9873046875	n/a	323572	21132	0	0	0.578125	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
316.021484375	n/a	323607	13210	2162	21343	0.0	0.0	6	2	1	3	105.303392	0	0	0	0.0	0.0	0	0
316.205078125	n/a	323795	13210	1331	20408	0.0	0.0	6	2	1	2	125.697628	0	0	0	0.0	0.0	0	0
316.388671875	n/a	323983	13110	8383	11125	0.0	0.0	5	3	1	2	137.576764	0	1	3	0.088203	131.320219	1	1
316.572265625	n/a	324171	13210	1928	21086	0.0	0.0	6	4	2	2	136.030165	0	0	0	0.0	0.0	0	0
316.755859375	n/a	324359	13210	2309	21499	0.0	0.0	6	2	1	2	138.544758	0	0	0	0.0	0.0	0	0
316.939453125	n/a	324547	13210	1407	20496	0.0	0.0	6	4	2	2	169.430099	0	0	0	0.0	0.0	0	0
317.123046875	n/a	324735	13210	2452	21654	0.0	0.0	6	2	1	3	106.859996	0	0	0	0.0	0.0	0	0
317.306640625	n/a	324923	13210	1114	20160	0.0	0.0	6	1	1	3	134.231809	0	0	0	0.0	0.0	0	0
317.349609375	n/a	324967	21131	8383	11125	0.0	0.9609375	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
317.490234375	n/a	325111	13210	1081	20118	0.0	0.0	6	2	1	3	89.86859	0	0	0	0.0	0.0	0	0
317.6533203125	n/a	325278	21132	0	0	0.3037109375	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
317.6748046875	n/a	325300	13210	2349	21543	0.0	0.0	6	2	1	2	127.284752	0	0	0	0.0	0.0	0	0
317.8583984375	n/a	325488	13210	1582	20697	0.0	0.0	6	2	1	2	110.416981	0	0	0	0.0	0.0	0	0
318.0419921875	n/a	325676	13210	1090	20128	0.0	0.0	6	3	1	2	130.169306	0	0	0	0.0	0.0	0	0
