onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.0753	0.5083	go	n/a	1.295	correct	right	female
5.5752	0.5083	go	n/a	1.061	correct	left	male
9.0834	0.5083	go	n/a	1.034	correct	right	female
12.5917	0.5083	go	n/a	1.476	correct	left	male
17.0999	0.5083	go	n/a	1.149	correct	left	male
20.1165	0.5083	go	n/a	1.071	correct	right	female
25.1164	0.5083	go	n/a	1.311	correct	right	female
28.6247	0.5083	go	n/a	1.294	correct	left	male
33.1329	0.5084	succesful_stop	0.2	n/a	n/a	right	female
40.1578	0.5083	go	n/a	1.172	correct	right	female
45.1577	0.5083	go	n/a	1.03	correct	left	male
48.666	0.5083	go	n/a	1.568	correct	right	female
52.1826	0.5083	go	n/a	1.112	correct	left	male
56.6825	0.5083	go	n/a	1.268	correct	right	female
60.6907	0.5083	go	n/a	1.358	correct	left	male
65.199	0.5083	succesful_stop	0.25	n/a	n/a	right	male
68.7072	0.5083	succesful_stop	0.3	n/a	n/a	right	male
73.7154	0.5084	go	n/a	1.107	correct	left	male
76.7237	0.5083	go	n/a	1.186	correct	left	male
81.732	0.5083	go	n/a	1.014	correct	right	female
85.2402	0.5083	go	n/a	1.017	correct	right	female
88.7485	0.5083	go	n/a	1.276	correct	left	male
92.2651	0.5083	succesful_stop	0.35	n/a	n/a	right	male
101.2732	0.5084	go	n/a	0.919	correct	left	male
105.2815	0.5083	go	n/a	0.897	correct	left	male
108.7897	0.5084	go	n/a	0.979	correct	left	male
113.298	0.5083	go	n/a	1.219	correct	right	female
116.3146	0.5083	succesful_stop	0.4	n/a	n/a	right	male
124.3311	0.5083	succesful_stop	0.45	n/a	n/a	right	male
132.3476	0.5083	succesful_stop	0.5	n/a	n/a	right	female
137.3475	0.5083	go	n/a	1.046	correct	left	male
144.3724	0.5083	go	n/a	1.783	correct	right	female
149.8723	0.5083	go	n/a	1.038	correct	right	female
153.8805	0.5083	succesful_stop	0.55	n/a	n/a	right	male
156.8888	0.5083	go	n/a	1.084	correct	right	female
160.4054	0.5083	go	n/a	0.909	correct	left	male
165.4053	0.5083	succesful_stop	0.6	n/a	n/a	right	male
168.9135	0.5084	go	n/a	1.033	correct	left	male
173.4218	0.5083	go	n/a	0.962	correct	left	male
176.93	0.5084	go	n/a	1.007	correct	right	female
181.4383	0.5083	go	n/a	0.931	correct	right	female
185.9465	0.5084	go	n/a	0.893	correct	left	male
192.9631	0.5083	go	n/a	1.803	correct	right	female
197.9713	0.5083	succesful_stop	0.65	n/a	n/a	right	male
201.9795	0.5084	go	n/a	1.049	correct	right	female
204.9878	0.5083	go	n/a	1.643	correct	left	male
208.5044	0.5083	go	n/a	1.048	correct	left	male
212.5127	0.5083	go	n/a	0.916	correct	left	male
221.0208	0.5083	go	n/a	1.002	correct	right	female
224.5374	0.5083	go	n/a	0.835	correct	left	male
228.5457	0.5083	go	n/a	1.23	correct	right	female
234.0456	0.5083	go	n/a	0.978	correct	left	male
238.0538	0.5083	go	n/a	0.904	correct	left	male
242.0621	0.5083	go	n/a	1.015	correct	left	male
245.0703	0.5084	go	n/a	1.18	correct	left	male
249.5786	0.5083	succesful_stop	0.7	n/a	n/a	right	female
253.0868	0.5084	succesful_stop	0.75	n/a	n/a	right	male
256.6034	0.5084	go	n/a	1.405	correct	right	female
262.1033	0.5084	go	n/a	1.098	correct	left	male
266.1116	0.5083	go	n/a	1.604	correct	right	female
269.6198	0.5084	succesful_stop	0.8	n/a	n/a	right	male
274.1281	0.5083	go	n/a	1.187	correct	right	female
281.1446	0.5083	go	n/a	1.24	correct	left	male
285.1529	0.5083	go	n/a	0.987	correct	left	male
288.6695	0.5083	go	n/a	1.496	correct	left	male
298.1776	0.5083	succesful_stop	0.85	n/a	n/a	right	female
301.1859	0.5083	go	n/a	1.119	correct	right	female
305.1941	0.5084	go	n/a	1.826	correct	right	female
309.7024	0.5083	succesful_stop	0.9	n/a	n/a	right	male
314.2106	0.5083	go	n/a	1.375	correct	right	female
316.7272	0.5084	go	n/a	1.062	correct	right	female
322.2271	0.5083	go	n/a	1.144	correct	right	female
328.752	0.5083	succesful_stop	0.95	n/a	n/a	right	female
333.7519	0.5083	succesful_stop	1.0	n/a	n/a	right	male
338.2601	0.5084	succesful_stop	1.05	n/a	n/a	right	female
341.7684	0.5083	succesful_stop	1.1	n/a	n/a	right	female
345.2767	0.5083	go	n/a	1.549	correct	left	male
349.2849	0.5083	succesful_stop	1.15	n/a	n/a	right	female
352.8015	0.5083	go	n/a	1.536	correct	left	male
357.8014	0.5083	go	n/a	1.489	correct	left	male
361.3097	0.5083	succesful_stop	1.2	n/a	n/a	right	female
365.3179	0.5083	succesful_stop	1.25	n/a	n/a	right	female
370.3262	0.5083	go	n/a	1.688	correct	left	male
374.3344	0.5083	succesful_stop	1.3	n/a	n/a	right	male
378.3427	0.5083	go	n/a	1.799	correct	right	female
381.8509	0.5083	go	n/a	1.981	correct	right	female
384.8675	0.5083	succesful_stop	1.35	n/a	n/a	right	male
389.8674	0.5083	go	n/a	1.992	correct	left	male
393.8757	0.5083	go	n/a	1.842	correct	left	male
398.3839	0.5083	go	n/a	1.741	correct	left	male
400.9005	0.5084	succesful_stop	1.4	n/a	n/a	right	female
406.4004	0.5084	go	n/a	1.842	correct	right	female
409.9087	0.5083	succesful_stop	1.45	n/a	n/a	right	male
412.9253	0.5083	go	n/a	1.82	correct	left	male
417.9252	0.5083	go	n/a	2.137	correct	left	male
420.9418	0.5083	go	n/a	2.022	correct	right	female
426.4417	0.5083	go	n/a	1.735	correct	right	female
430.4499	0.5084	succesful_stop	1.5	n/a	n/a	right	female
433.9582	0.5083	go	n/a	2.087	correct	left	male
437.9665	0.5083	go	n/a	2.369	correct	right	female
