onset	duration	code	trial_number
0.0057	0.0167	70	0
0.0057	0.0	train_block_end	0
19.3529	0.0	3	0
19.3643	0.0	rest_block_start	0
19.3643	2.0084	80	0
21.3727	2.0084	80	0
23.381	2.0084	80	0
25.3894	2.0084	80	0
27.3977	2.0084	80	0
29.4061	2.0084	80	0
31.4144	2.0084	80	0
33.4228	2.0084	80	0
36.9395	0.0	rest_block_end	0
36.9395	0.0	experiment_block_start	0
36.9395	0.5	40	1
37.4395	0.25	30	1
37.6895	0.4083	12	1
38.0936	0.0	2	1
38.0979	0.5	40	2
38.5979	0.25	30	2
38.8479	0.3	11	2
39.1435	0.0	1	2
39.1479	0.5	40	3
39.6479	0.25	30	3
39.8979	0.3	211	3
40.1979	0.05	221	3
40.2395	0.0	1	3
40.2479	0.5	40	4
40.7479	0.25	30	4
40.9979	0.3667	11	4
41.3585	0.0	1	4
41.3646	0.5	40	5
41.8646	0.25	30	5
42.1146	0.4	11	5
42.5065	0.0	1	5
42.5146	0.5	40	6
43.0146	0.25	30	6
43.2646	0.35	12	6
43.6094	0.0	2	6
43.6146	0.5	40	7
44.1146	0.25	30	7
44.3646	0.25	212	7
44.6146	1.0	222	7
45.6146	0.5	40	8
46.1146	0.25	30	8
46.3646	0.3583	12	8
46.7145	0.0	2	8
46.723	0.5	40	9
47.223	0.25	30	9
47.473	0.3417	12	9
47.8034	0.0	2	9
47.8147	0.5	40	10
48.3147	0.25	30	10
48.5647	0.4	12	10
48.9584	0.0	2	10
48.9647	0.5	40	11
49.4647	0.25	30	11
49.7147	0.4917	11	11
50.2023	0.0	1	11
50.2063	0.5	40	12
50.7064	0.25	30	12
50.9564	0.275	12	12
51.2203	0.0	2	12
51.2314	0.5	40	13
51.7314	0.25	30	13
51.9814	0.4583	11	13
52.4313	0.0	1	13
52.4397	0.5	40	14
52.9397	0.25	30	14
53.1897	0.3	11	14
53.4853	0.0	1	14
53.4897	0.5	40	15
53.9897	0.25	30	15
54.2397	0.3	211	15
54.5397	0.1333	221	15
54.6653	0.0	1	15
54.6731	0.5	40	16
55.1731	0.25	30	16
55.4231	0.25	212	16
55.6731	0.075	222	16
55.7392	0.0	2	16
55.7481	0.5	40	17
56.2481	0.25	30	17
56.4981	0.45	12	17
56.9373	0.0	2	17
56.9481	0.5	40	18
57.4481	0.25	30	18
57.6981	0.3167	11	18
58.0092	0.0	1	18
58.0148	0.5	40	19
58.5148	0.25	30	19
58.7648	0.2	212	19
58.9648	0.15	222	19
59.1032	0.0	2	19
59.1148	0.5	40	20
59.6148	0.25	30	20
59.8648	0.3417	11	20
60.1992	0.0	1	20
60.2065	0.5	40	21
60.7065	0.25	30	21
60.9565	0.375	11	21
61.3272	0.0	1	21
61.3315	0.5	40	22
61.8315	0.25	30	22
62.0815	0.725	12	22
62.7961	0.0	2	22
62.8065	0.5	40	23
63.3065	0.25	30	23
63.5565	0.325	12	23
63.8701	0.0	2	23
