column_name	column_value	description	HED
event_type	setup_right_sym	Description for setup_right_sym	Label/setup_right_sym
event_type	show_face_initial	Description for show_face_initial	Label/show_face_initial
event_type	double_press	Description for double_press	Label/double_press
event_type	left_press	Description for left_press	Label/left_press
event_type	right_press	Description for right_press	Label/right_press
event_type	show_face	Description for show_face	Label/show_face
event_type	show_circle	Description for show_circle	Label/show_circle
event_type	show_cross	Description for show_cross	Label/show_cross
face_type	unfamiliar_face	Description for unfamiliar_face	Label/unfamiliar_face
face_type	famous_face	Description for famous_face	Label/famous_face
face_type	scrambled_face	Description for scrambled_face	Label/scrambled_face
rep_status	delayed_repeat	Description for delayed_repeat	Label/delayed_repeat
rep_status	immediate_repeat	Description for immediate_repeat	Label/immediate_repeat
rep_status	first_show	Description for first_show	Label/first_show
trial	n/a	Description for trial	Label/#
rep_lag	n/a	Description for rep_lag	Label/#
value	n/a	Description for value	Label/#
stim_file	n/a	Description for stim_file	Label/#
